Neuron,seq0,reporter0,seq1,reporter1,seq2,reporter2,seq3,reporter3,seq4,reporter4,seq5,reporter5,seq6,reporter6,seq7,reporter7,seq8,reporter8,seq9,reporter9,seq10,reporter10,seq11,reporter11,seq12,reporter12,seq13,reporter13,seq14,reporter14,seq15,reporter15,seq16,reporter16,seq17,reporter17,seq18,reporter18,seq19,reporter19,seq20,reporter20,seq21,reporter21,seq22,reporter22,seq23,reporter23,seq24,reporter24,seq25,reporter25,seq26,reporter26,seq27,reporter27,seq28,reporter28,seq29,reporter29,seq30,reporter30,seq31,reporter31,seq32,reporter32
RIG,347.293942757713,0,73.6174076002711,1,0.0,0,83.34986,1,0.0,0,47.7662423271502,0,231.113462047871,0,15.8191503376842,0,123.20362288787,0,45.02369,0,71.3270712029917,1,0.0,0,420.607691807127,0,50.3602910226568,0,0.0,0,62.3567098410378,0,37.082112294655,0,23.83076,0,0.0,0,258.806422002293,0,149.719289337297,0,0.0,1,11.9917,0,67.5439542444553,0,0.0,0,0.0,0,103.16056743655,0,20.84898,0,70.5852008480903,0,0.0,0,511.52120075854,0,549.525776858282,1,96.80075,0
SIA,291.845717584878,0,0.0,0,3271.11246729421,0,156.7128,1,0.0,0,38.740917018693,1,294.361690077775,0,34.1029546596072,0,104.95960603949,1,0.0,0,0.0,0,0.0,0,63.7376330213745,0,0.0,1,0.0,0,100.117554222069,0,19.9710979813845,0,62.69411,0,64.6134994077058,0,245.691004455897,1,137.73767055105,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,76.801395517831,1,0.0,0,75.981313481139,0,66.620185111296,0,85.6246409175624,0,243.456991480396,0,35.77619,1
RMH,273.067287568916,0,0.0,0,13703.1646470213,0,0.0,0,0.0,0,0.0,0,380.287830115024,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,159.257809042697,0,0.0,0,0.0,0,56.2926654565867,0,20.510044428746,0,0.0,0,22.028948315495,0,138.455190802066,0,118.588867570948,0,0.0,0,0.0,0,42.2629099454474,0,0.0,0,0.0,0,161.042569549733,0,0.0,0,71.5694459019155,0,0.0,0,46.157457332629,0,0.0,0,0.0,0
RMF,258.870351344047,0,0.0,0,1128.96050943475,0,84.65735,0,0.0,0,0.0,0,272.991001384777,0,78.1145299072524,0,71.667350855789,0,0.0,0,0.0,0,55.3795153746993,0,139.444194113622,0,0.0,0,0.0,0,85.7514338261829,0,32.0661373026974,0,34.77914,0,74.2121700856728,0,121.078885175958,0,147.451502932925,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,59.2046104408669,0,0.0,0,105.497514452988,0,0.0,0,36.1878308423922,0,562.347959986895,0,0.0,0
RIR,465.331617949281,0,0.0,0,804.378281887919,0,0.0,0,0.0,0,0.0,0,139.901706101017,0,0.0,0,265.811840264346,0,71.76652,0,138.627958200571,0,104.591109906101,0,268.484141217234,0,163.361286101226,0,0.0,0,1053.29727330008,0,0.0,0,0.0,0,124.834893846231,0,156.668785685017,0,198.043659755029,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,11.61265,0,179.739270629028,0,0.0,0,0.0,0,0.0,0,0.0,0
RIH,433.954857055213,0,0.0,0,820.673785226431,0,0.0,0,0.0,0,0.0,0,113.606391812447,0,14.2511078486469,0,23.3751000507083,0,118.5607,0,94.5163857455082,0,154.81266375028,0,172.77648335003,0,699.051281995776,1,0.0,0,29.5019991524198,0,47.4836776387615,0,0.0,0,32.1588631190367,0,50.3443884843919,0,228.386070052625,0,0.0,0,0.0,1,71.2981941746197,0,0.0,0,0.0,0,74.5247878208363,0,0.0,0,154.813060575368,0,0.0,0,75.0580427143985,0,0.0,0,179.0361,0
AVL,382.060068594655,0,102.964497696182,0,0.0,0,64.88945,0,0.0,0,0.0,0,142.882261628247,0,27.7666837060516,0,344.94241677906,0,0.0,0,0.0,0,0.0,0,68.4959147254921,0,0.0,0,0.0,0,51.498089721141,0,0.0,0,26.76995,0,25.0178031741314,0,280.428642770144,0,86.4694847015436,0,114.943578585135,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,27.39924,0,36.5942456968982,0,0.0,0,0.0,0,300.465210097525,0,98.54101,0
AIA,205.54670746155,0,0.0,0,0.0,0,17.25229,0,0.0,0,0.0,0,67.207593086403,0,98.0191230532935,0,101.429120826477,1,8.9115,0,0.0,0,0.0,1,186.08281961786,0,0.0,1,4185.07709279373,1,14.7282642864659,0,0.0,0,0.0,0,16.7206914525963,1,186.766630434309,0,127.031872881887,0,0.0,0,6.075638,1,0.0,0,0.0,0,0.0,0,110.167692363321,0,0.0,0,0.0,0,0.0,0,548.615180356299,0,0.0,0,0.0,0
SAB,296.487561488064,0,0.0,0,103.942737981411,0,61.07573,1,0.0,0,85.9975804919779,0,119.30834737408,0,0.0,0,97.4674847705393,0,0.0,0,0.0,0,183.032960201436,0,0.0,0,0.0,0,0.0,0,81.2818908305681,0,0.0,0,23.64511,0,0.0,0,775.849352749916,0,0.0,0,397.427393402908,0,0.0,0,0.0,0,0.0,0,0.0,0,178.585303078257,0,0.0,0,409.790501125015,0,0.0,0,83.9945674301508,0,750.7087984726,0,166.914,0
RIF,293.92534720264,0,31.6302296446966,0,22567.5618674764,0,22.34604,1,0.0,0,54.5847755696668,1,175.870010744272,0,18.587872598494,0,127.123619928474,0,0.0,0,0.0,0,0.0,0,135.53445673198,0,0.0,0,0.0,0,14.9025063197745,0,0.0,0,0.0,0,30.7908001150493,0,219.590328638912,0,89.2347195131374,0,0.0,0,0.0,0,0.0,0,20.0363057326984,0,0.0,0,141.993032050458,1,0.0,0,0.0,0,0.0,0,234.061548012731,1,301.567128182312,1,0.0,1
